Tube ID	PID	PCRed	Index	Notes	run_number	modified_sample_name	run_group
63.1	1.3.2	4/27/15	1	Bray Timed Feeding Study	M63	1.3.2	M63Bray
63.3	2.3.2	4/27/15	3		M63	2.3.2	M63Bray
63.4	3.3.2	4/27/15	4		M63	3.3.2	M63Bray
63.5	4.3.2	4/27/15	5		M63	4.3.2	M63Bray
63.6	1.3.6	4/27/15	6		M63	1.3.6	M63Bray
63.7	2.3.6	4/27/15	7		M63	2.3.6	M63Bray
63.8	3.3.6	4/27/15	8		M63	3.3.6	M63Bray
63.9	4.3.6	4/27/15	9		M63	4.3.6	M63Bray
63.10	1.3.10	4/27/15	10		M63	1.3.10	M63Bray
63.11	2.3.10	4/27/15	11		M63	2.3.10	M63Bray
63.12	3.3.10	4/27/15	12		M63	3.3.10	M63Bray
63.13	4.3.10	4/27/15	13		M63	4.3.10	M63Bray
63.14	1.3.14	4/27/15	14		M63	1.3.14	M63Bray
63.15	2.3.14	4/27/15	15		M63	2.3.14	M63Bray
63.16	3.3.14	4/27/15	16		M63	3.3.14	M63Bray
63.17	4.3.14	4/27/15	17		M63	4.3.14	M63Bray
63.18	1.3.18	4/27/15	18		M63	1.3.18	M63Bray
63.19	2.3.18	4/27/15	19		M63	2.3.18	M63Bray
63.20	3.3.18	4/27/15	20		M63	3.3.18	M63Bray
63.21	4.3.18	4/27/15	21		M63	4.3.18	M63Bray
63.22	1.3.22	4/27/15	22		M63	1.3.22	M63Bray
63.23	2.3.22	4/27/15	23		M63	2.3.22	M63Bray
63.24	3.3.22	4/27/15	24		M63	3.3.22	M63Bray
62.25	4.3.22	4/27/15	25		M63	4.3.22	M63Bray
63.26	5.3.2	4/28/15	26		M63	5.3.2	M63Bray
63.27	6.3.2	4/28/15	27		M63	6.3.2	M63Bray
63.28	7.3.2	4/28/15	28		M63	7.3.2	M63Bray
63.29	8.3.2	4/28/15	29		M63	8.3.2	M63Bray
63.30	5.3.6	4/28/15	30		M63	5.3.6	M63Bray
63.31	6.3.6	4/28/15	31		M63	6.3.6	M63Bray
63.32	7.3.6	4/28/15	32		M63	7.3.6	M63Bray
63.33	8.3.6	4/28/15	33		M63	8.3.6	M63Bray
63.34	5.3.10	4/28/15	34		M63	5.3.10	M63Bray
63.35	6.3.10	4/28/15	35		M63	6.3.10	M63Bray
63.36	7.3.10	4/28/15	36		M63	7.3.10	M63Bray
63.37	8.3.10	4/28/15	37		M63	8.3.10	M63Bray
63.38	5.3.14	4/28/15	38		M63	5.3.14	M63Bray
63.39	6.3.14	4/28/15	39		M63	6.3.14	M63Bray
63.40	7.3.14	4/28/15	40		M63	7.3.14	M63Bray
63.41	8.3.14	4/28/15	41		M63	8.3.14	M63Bray
63.42	5.3.18	4/28/15	42		M63	5.3.18	M63Bray
63.43	6.3.18	4/28/15	43		M63	6.3.18	M63Bray
63.44	7.3.18	4/28/15	44		M63	7.3.18	M63Bray
63.45	8.3.18	4/28/15	45		M63	8.3.18	M63Bray
63.46	5.3.22	4/28/15	46		M63	5.3.22	M63Bray
63.47	6.3.22	4/28/15	47		M63	6.3.22	M63Bray
63.48	7.3.22	4/28/15	48		M63	7.3.22	M63Bray
63.49	8.3.22	4/28/15	49		M63	8.3.22	M63Bray
